#,Name,Address,City,State/Region,Postal Code,Country,Phone,Latitude,Longitude,Store ID
1,Taco Bell Albion Park,"Shop 3, 61 Princes Highway, ALBION PARK NSW 2527",Wollongong,New South Wales,2527,AU,+61 2 4257 3673,-34.55295510872227,150.7901661031089,au-https-tacobell-com-au-albion-park
2,Taco Bell Annerley,"594 Ipswich Road, Annerley QLD, 4103",Brisbane,Queensland,4103,AU,+61 7 3848 4531,-27.514796363187997,153.03116747763124,au-https-tacobell-com-au-annerley
3,Taco Bell Ballina,"95 Fox Street, BALLINA NSW 2478",Ballina,New South Wales,2478,AU,+61 2 5630 1377,-28.859896407950366,153.55990007655893,au-https-tacobell-com-au-ballina
4,Taco Bell Beenleigh,"151 George Street, Beenleigh QLD 4207",Brisbane,Queensland,4207,AU,+61 7 2899 6625,-27.716147056808218,153.20699928585765,au-https-tacobell-com-au-beenleigh
5,Taco Bell Berwick South,"254 Clyde Road, Berwick South VIC 3806",Melbourne,Victoria,3806,AU,+61 3 8902 7620,-38.05660165277357,145.33866167144413,au-https-tacobell-com-au-berwick-south
6,Taco Bell Blacktown Sports Park,"100 Eastern Road Rooty Hill, NSW 2766",Sydney,New South Wales,2766,AU,+61 2 7204 7708,-33.770915,150.85907,au-https-tacobell-com-au-blacktown-sports-park
7,Taco Bell Butler,"Tenancy 1, 40 Butler Boulevard, Butler WA 6036",,Western Australia,6036,AU,+61 8 6207 3440,-31.638863392486847,115.69504033932931,au-https-tacobell-com-au-butler
8,Taco Bell Canning Vale,"459 Nicholson Road, Canning Vale WA 6155",Perth,Western Australia,6155,AU,+61 8 9449 7010,-32.06331600481783,115.93574169992701,au-https-tacobell-com-au-canning-vale
9,Taco Bell Chatswood Interchange,"11/436 Victoria Avenue, Chatswood NSW 2067",Sydney,New South Wales,2067,AU,+61 2 7233 2554,-33.79718408960323,151.1811128,au-https-tacobell-com-au-chatswood-interchange
10,Taco Bell Chirnside Park,"266-268 Maroondah Highway, Chirnside Park, VIC, 3116",Melbourne,Victoria,3116,AU,+61 3 7303 2310,-37.764442673502195,145.30822562883517,au-https-tacobell-com-au-chirnside-park
11,Taco Bell Coomera South,"Cnr Foxwell Rd & Creek Rd, Coomera South 4209 | Opposite Westfield Coomera!, .",,Queensland,4209,AU,+61 7 5675 7635,-27.85567252297444,153.31445574760437,au-https-tacobell-com-au-coomera-south
12,Taco Bell Coorparoo,"208 Old Cleveland Road, Coorparoo QLD 4151",Brisbane,Queensland,4151,AU,+61 7 2899 6670,-27.496576820809377,153.054182,au-https-tacobell-com-au-coorparoo
