internal_id,store_id,name,address,city,region,postal_code,country,latitude,longitude,phone,source_url
au-au-https-tacobell-com-au-albion-park,au-https-tacobell-com-au-albion-park,Taco Bell Albion Park,"Shop 3, 61 Princes Highway, ALBION PARK NSW 2527",Wollongong,New South Wales,2527,AU,-34.5529551,150.7901661,+61 2 4257 3673,https://tacobell.com.au/albion/park/
au-au-https-tacobell-com-au-annerley,au-https-tacobell-com-au-annerley,Taco Bell Annerley,"594 Ipswich Road, Annerley QLD, 4103",Brisbane,Queensland,4103,AU,-27.5147964,153.0311675,+61 7 3848 4531,https://tacobell.com.au/annerley/
au-au-https-tacobell-com-au-ballina,au-https-tacobell-com-au-ballina,Taco Bell Ballina,"95 Fox Street, BALLINA NSW 2478",Ballina,New South Wales,2478,AU,-28.8598964,153.5599001,+61 2 5630 1377,https://tacobell.com.au/ballina/
au-au-https-tacobell-com-au-beenleigh,au-https-tacobell-com-au-beenleigh,Taco Bell Beenleigh,"151 George Street, Beenleigh QLD 4207",Brisbane,Queensland,4207,AU,-27.7161471,153.2069993,+61 7 2899 6625,https://tacobell.com.au/beenleigh/
au-au-https-tacobell-com-au-berwick-south,au-https-tacobell-com-au-berwick-south,Taco Bell Berwick South,"254 Clyde Road, Berwick South VIC 3806",Melbourne,Victoria,3806,AU,-38.0566017,145.3386617,+61 3 8902 7620,https://tacobell.com.au/berwick/south/
au-au-https-tacobell-com-au-blacktown-sports-park,au-https-tacobell-com-au-blacktown-sports-park,Taco Bell Blacktown Sports Park,"100 Eastern Road Rooty Hill, NSW 2766",Sydney,New South Wales,2766,AU,-33.7709150,150.8590700,+61 2 7204 7708,https://tacobell.com.au/blacktown/sports/park/
au-au-https-tacobell-com-au-butler,au-https-tacobell-com-au-butler,Taco Bell Butler,"Tenancy 1, 40 Butler Boulevard, Butler WA 6036",,Western Australia,6036,AU,-31.6388634,115.6950403,+61 8 6207 3440,https://tacobell.com.au/butler/
au-au-https-tacobell-com-au-canning-vale,au-https-tacobell-com-au-canning-vale,Taco Bell Canning Vale,"459 Nicholson Road, Canning Vale WA 6155",Perth,Western Australia,6155,AU,-32.0633160,115.9357417,+61 8 9449 7010,https://tacobell.com.au/canning/vale/
au-au-https-tacobell-com-au-chatswood-interchange,au-https-tacobell-com-au-chatswood-interchange,Taco Bell Chatswood Interchange,"11/436 Victoria Avenue, Chatswood NSW 2067",Sydney,New South Wales,2067,AU,-33.7971841,151.1811128,+61 2 7233 2554,https://tacobell.com.au/chatswood/interchange/
au-au-https-tacobell-com-au-chirnside-park,au-https-tacobell-com-au-chirnside-park,Taco Bell Chirnside Park,"266-268 Maroondah Highway, Chirnside Park, VIC, 3116",Melbourne,Victoria,3116,AU,-37.7644427,145.3082256,+61 3 7303 2310,https://tacobell.com.au/chirnside/park/
au-au-https-tacobell-com-au-coomera-south,au-https-tacobell-com-au-coomera-south,Taco Bell Coomera South,"Cnr Foxwell Rd & Creek Rd, Coomera South 4209 | Opposite Westfield Coomera!, .",,Queensland,4209,AU,-27.8556725,153.3144557,+61 7 5675 7635,https://tacobell.com.au/coomera/south/
au-au-https-tacobell-com-au-coorparoo,au-https-tacobell-com-au-coorparoo,Taco Bell Coorparoo,"208 Old Cleveland Road, Coorparoo QLD 4151",Brisbane,Queensland,4151,AU,-27.4965768,153.0541820,+61 7 2899 6670,https://tacobell.com.au/coorparoo/
au-au-https-tacobell-com-au-dandenong-south,au-https-tacobell-com-au-dandenong-south,Taco Bell Dandenong South,"1 Assembly Drive, Dandenong South, VIC 3175",Melbourne,Victoria,3175,AU,-38.0038121,145.2481034,+61 3 8902 7610,https://tacobell.com.au/dandenong/south/
au-au-https-tacobell-com-au-east-ipswich,au-https-tacobell-com-au-east-ipswich,Taco Bell East Ipswich,"70 Brisbane Road, East Ipswich QLD 4305",Brisbane,Queensland,4305,AU,-27.6126220,152.7810858,+61 7 3813 4005,https://tacobell.com.au/east/ipswich/
au-au-https-tacobell-com-au-ellenbrook-north,au-https-tacobell-com-au-ellenbrook-north,Taco Bell Ellenbrook North,"Lot 2 The Promenade, Ellenbrook, WA 6069",,Western Australia,6069,AU,-31.7809348,115.9724328,+61 8 6207 3425,https://tacobell.com.au/ellenbrook/north/
